Report Date,Borough,Community District,Adult Family Comm Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Comm Hotel,FWC Cluster,FWC Comm Hotel,FWC Shelter
03/31/2024,Bronx,201,,,4,2,,1,8
03/31/2024,Bronx,202,,1,,,,,5
03/31/2024,Bronx,203,,,7,1,,,7
03/31/2024,Bronx,204,,,2,,,2,13
03/31/2024,Bronx,205,,1,4,,,,10
03/31/2024,Bronx,206,,,2,,,8,17
03/31/2024,Bronx,207,,,5,,,4,4
03/31/2024,Bronx,208,,,,,,,1
03/31/2024,Bronx,209,,,2,,,2,6
03/31/2024,Bronx,210,,,,,,,3
03/31/2024,Bronx,211,,,,,,,
03/31/2024,Bronx,212,,,3,,,4,3
03/31/2024,Brooklyn,301,,1,6,,,4,
03/31/2024,Brooklyn,302,,1,6,,,,1
03/31/2024,Brooklyn,303,1,,4,1,,2,5
03/31/2024,Brooklyn,304,1,,1,2,,,4
03/31/2024,Brooklyn,305,,,8,3,,7,6
03/31/2024,Brooklyn,306,,1,2,2,,3,1
03/31/2024,Brooklyn,307,,,3,5,,2,1
03/31/2024,Brooklyn,308,,,2,1,,1,5
03/31/2024,Brooklyn,309,,,2,,,,1
03/31/2024,Brooklyn,312,,,1,,,,1
03/31/2024,Brooklyn,313,,,,1,,,1
03/31/2024,Brooklyn,314,,,2,,,1,1
03/31/2024,Brooklyn,315,,,,,,1,3
03/31/2024,Brooklyn,316,,,4,5,,6,14
03/31/2024,Brooklyn,317,,,,,,2,4
03/31/2024,Brooklyn,318,,1,,,,1,3
03/31/2024,Manhattan,101,,,,,,1,
03/31/2024,Manhattan,102,,,,,,1,
03/31/2024,Manhattan,103,,,6,2,,1,2
03/31/2024,Manhattan,104,,,2,2,,4,2
03/31/2024,Manhattan,105,,1,1,1,,8,2
03/31/2024,Manhattan,106,,,2,,,1,1
03/31/2024,Manhattan,107,,1,1,,,4,3
03/31/2024,Manhattan,108,,,1,,,1,
03/31/2024,Manhattan,109,,,1,,,,5
03/31/2024,Manhattan,110,,,10,,,,8
03/31/2024,Manhattan,111,,,10,,,,6
03/31/2024,Manhattan,112,,,3,,,,
03/31/2024,Queens,401,,,1,2,,18,3
03/31/2024,Queens,402,,1,,2,,4,1
03/31/2024,Queens,403,,1,,1,,3,4
03/31/2024,Queens,404,,,,1,,1,1
03/31/2024,Queens,405,,,1,,,,1
03/31/2024,Queens,407,,,2,,,1,
03/31/2024,Queens,408,,,1,,,1,1
03/31/2024,Queens,409,,,1,,,,
03/31/2024,Queens,410,,,1,2,,3,
03/31/2024,Queens,411,,,1,,,1,
03/31/2024,Queens,412,1,2,3,1,,22,8
03/31/2024,Queens,413,,,1,4,,5,2
03/31/2024,Queens,414,,1,1,,,3,1
03/31/2024,Staten Island,501,,,1,1,,1,2
03/31/2024,Staten Island,502,,,,,,3,
03/31/2024,Westchester,,,,,,,1,
